would|0.2928510904312134, it|0.018015865236520767, be|0.0336090549826622, a|0.08549133688211441, good|0.1160033643245697, idea|-0.4092659652233124, to|0.021886497735977173, put|0.03203658014535904, inside|0.11149516701698303, the|0.021482761949300766, open|-0.03650922328233719, part|-0.054154787212610245, of|-0.0701945498585701, this|0.09480872750282288, fixture|-0.132450133562088	no	no	1	116786
if|-0.021923577412962914, the|0.0039015873335301876, girls|0.026589956134557724, are|0.031986650079488754, not|-0.0736522451043129, wearing|0.05345459654927254, white|0.0062118940986692905, socks|0.06311900168657303, what|0.10306107997894287, color|0.05306929722428322, socks|0.12199527770280838, are|0.05396286025643349, they|0.09173335134983063, wearing|0.03606998175382614	white	blue	0	387079
why|0.020879829302430153, would|0.018826134502887726, the|-0.008200572803616524, be|0.02020285464823246, riding|0.03524238243699074, up|0.017563365399837494, the|0.0063356454484164715, mountain|-0.030512357130646706, for|-0.004402074031531811, the|0.007869495078921318, skier|0.04498088359832764	skiing		0	200296
how|0.2559049129486084, symmetrical|0.002468988299369812, are|0.09754025936126709, the|0.024504173547029495, white|-0.06262354552745819, bricks|0.06266526132822037, on|-0.031602852046489716, either|-0.12557588517665863, side|-0.024004820734262466, of|-0.019474714994430542, the|0.010419848375022411, building|0.008037969470024109	very	very	1	58655
what|0.3001921474933624, mode|0.10340721905231476, of|0.02184346690773964, transportation|0.13843761384487152, is|0.014634756371378899, in|0.054819557815790176, the|-0.0035142337437719107, center|-0.016790175810456276, of|-0.014917129650712013, the|0.03728867322206497, photo|0.048693668097257614	bus	train	0	520503
where|0.005658571142703295, should|0.0015192008577287197, i|0.05013067275285721, go|0.007840435951948166, to|0.015747301280498505, get|0.06220434606075287, to|0.008271893486380577, the|-0.0005717992899008095, book|-0.01292457990348339, sale|0.020801778882741928	restaurant	left|to left	0	530162
does|-0.04596024006605148, this|-0.020104199647903442, flask|-0.13119074702262878, have|0.08143845200538635, enough|0.072779580950737, wine|0.10764361917972565, to|0.0913667231798172, fill|0.21098601818084717, the|-0.021628959104418755, glass|0.09573418647050858	yes	yes	1	347087
is|0.2410396933555603, the|0.011765631847083569, dog|0.23402062058448792, only|0.3484903573989868, have|-0.059649452567100525, one|-0.17905911803245544, of|-0.09688423573970795, his|0.026430580765008926, eyes|-0.16890409588813782, showing|-0.013531498610973358	no	yes	0	176697
what|-0.0027648189570754766, do|-0.006536742206662893, you|0.0032996765803545713, call|0.013904068619012833, the|0.0018012856598943472, wooden|0.01046525314450264, items|0.027921998873353004, behind|-0.014018052257597446, the|0.0005700861802324653, bear|0.010620866902172565	basket		0	505371
what|0.31357502937316895, type|0.1604195088148117, of|0.06822820007801056, beds|0.2052062451839447, are|0.10421022027730942, shown|-0.005028498359024525, in|0.011454259976744652, the|0.01738298311829567, photo|0.03359409049153328	bunk	bunk	0	349483
is|-0.04825860261917114, the|-0.004738924093544483, player|0.005284719169139862, in|0.037021733820438385, orange|0.06980665773153305, on|0.03869496285915375, defense|0.011296866461634636, or|0.35828304290771484, offense|0.5123804211616516	neither		0	152019
is|-0.034775495529174805, these|-0.0661013051867485, girls|-0.012704894877970219, soccer|0.13473471999168396, teams|-0.02692258171737194, or|-0.41969671845436096, coed|0.11203444004058838, soccer|0.014346878975629807, teams|-0.052897270768880844	yes	girls	0	152019
what|0.2906288802623749, body|0.13360346853733063, part|0.05837620049715042, has|0.11318256705999374, most|0.01510663516819477, recently|-0.09727319329977036, the|-0.0033075360115617514, ball|0.15182983875274658	head	head	1	387079
does|-0.06238723546266556, the|-0.01777097024023533, window|-0.03698009252548218, on|0.03499947488307953, the|0.00577840069308877, right|-0.012428336776793003, have|-0.073028065264225, a|-0.03601659834384918, curtain|0.15559007227420807	no	yes	0	554266
what|0.01515436265617609, is|0.050024017691612244, the|-0.0010970027651637793, teddy|0.018260199576616287, bear|0.038750652223825455, wearing|0.10853198915719986, on|-0.042162902653217316, the|-0.04267996922135353, head|0.3480793535709381	hat	helmet	0	505371
what|-0.017191587015986443, is|0.01776401698589325, written|0.06583435833454132, on|0.03911322355270386, the|0.018861917778849602, teddy|-0.024759814143180847, bear's|0.020044103264808655, feet|0.24398547410964966	nothing		0	124039
how|0.13224273920059204, many|0.2663520574569702, people|0.10698843747377396, can|-0.08971508592367172, the|-0.018214233219623566, red|0.018301740288734436, buses|0.04981943592429161, hold|-0.13336634635925293	2		0	36012
how|0.11180223524570465, many|0.18466991186141968, double-decker|-0.059034816920757294, buses|0.14763480424880981, are|-0.01988968998193741, in|-0.035473570227622986, the|0.0077253421768546104, picture|-0.0005842238897457719	2	3	0	36012
