what|0.04364706203341484, is|0.030468139797449112, the|0.022222284227609634, answer|0.0009022336453199387, to|-0.008989249356091022, would|0.03882690519094467, it|0.012812163680791855, be|0.01563342660665512, a|0.03722238540649414, good|0.003442949615418911, idea|0.07591578364372253, to|-0.008118648082017899, put|0.015064460225403309, inside|0.023323824629187584, the|0.00395569484680891, open|0.018668517470359802, part|0.05642420053482056, of|-0.004835197702050209, this|0.052426885813474655, fixture|-0.10379256308078766	toilet	no	0	116786
what|-0.012820025905966759, is|0.019976096227765083, the|0.009036742150783539, answer|-0.005309523083269596, to|0.01645224168896675, if|-0.018177056685090065, the|0.007383961696177721, girls|0.017708443105220795, are|0.008915103040635586, not|-0.02948835678398609, wearing|0.031634241342544556, white|0.022330623120069504, socks|0.053696226328611374, what|0.035730332136154175, color|0.14405490458011627, socks|0.11708387732505798, are|0.034347712993621826, they|0.058194857090711594, wearing|-0.002231743885204196	white	blue	0	387079
what|0.017073655501008034, is|0.0234842449426651, the|0.011582458391785622, answer|-0.029682878404855728, to|0.003521184902638197, why|0.028501130640506744, would|0.018407730385661125, the|-0.0011941686971113086, be|0.015296359546482563, riding|0.043340232223272324, up|0.01565963216125965, the|0.006022397428750992, mountain|-0.021807819604873657, for|-0.003896719077602029, the|0.009073695167899132, skier|0.057323604822158813	skiing		0	200296
what|0.000650482252240181, is|0.0002488373138476163, the|0.000458677823189646, answer|0.004350757226347923, to|-0.0009586510714143515, how|0.009927271865308285, symmetrical|0.008844740688800812, are|0.0039536128751933575, the|-0.0007948412094265223, white|0.00016041475464589894, bricks|0.002972722053527832, on|-0.0011479472741484642, either|0.02060881443321705, side|0.00045323552330955863, of|-0.00030142563628032804, the|0.0020821092184633017, building|-0.0014805495738983154	shadows	very	0	58655
what|0.07340558618307114, is|0.1053912490606308, the|0.019157113507390022, answer|-0.11923635751008987, to|-0.007047509774565697, what|0.11828446388244629, mode|0.18639527261257172, of|0.010226563550531864, transportation|0.18505531549453735, is|0.017236879095435143, in|0.049718402326107025, the|-0.003888950916007161, center|-0.008289126679301262, of|-0.011927450075745583, the|0.025426751002669334, photo|0.09068259596824646	bus	train	0	520503
what|0.029289742931723595, is|0.011511699296534061, the|0.008326725102961063, answer|-0.03748495876789093, to|-0.019073208793997765, where|0.03682265058159828, should|0.02668171562254429, i|0.003055392764508724, go|0.00444431509822607, to|-0.004836059641093016, get|-0.00815470702946186, to|-0.006201182957738638, the|-0.0028733292128890753, book|0.0042405035346746445, sale|0.011603756807744503	advertisement	left|to left	0	530162
what|0.07729914039373398, is|0.0930623784661293, the|0.023624757304787636, answer|-0.24992549419403076, to|-0.008194610476493835, does|0.08142361789941788, this|0.04348308593034744, flask|0.08947920799255371, have|0.00872139260172844, enough|0.13087257742881775, wine|-0.02449270337820053, to|0.02071775496006012, fill|0.232114776968956, the|-0.022634441033005714, glass|0.27451223134994507	wine	yes	0	347087
what|-0.00013093974848743528, is|0.0003767975140362978, the|0.001712419674731791, answer|0.010073525831103325, to|-0.004850420169532299, is|0.0018421687418594956, the|0.003955907188355923, dog|0.008969536051154137, only|0.009380456991493702, have|0.003716300008818507, one|0.014122864231467247, of|-0.0018927271012216806, his|0.009561811573803425, eyes|0.04743955284357071, showing|0.008779166266322136	camera flash	yes	0	176697
what|0.006462233606725931, is|0.003942213952541351, the|0.0006004193564876914, answer|-0.014516840688884258, to|0.001211704220622778, what|0.02309531718492508, do|-0.002336737234145403, you|0.005291936919093132, call|0.022628657519817352, the|0.003584599820896983, wooden|-0.020707562565803528, items|-0.031190175563097, behind|0.10220206528902054, the|0.004485377576202154, bear|-0.045040711760520935	tire		0	505371
what|0.044603798538446426, is|0.07249641418457031, the|0.041120149195194244, answer|-0.1890457272529602, to|-0.0757296085357666, what|0.1347692459821701, type|0.27981582283973694, of|0.052761442959308624, beds|0.3125704228878021, are|0.09873504936695099, shown|0.0030355583876371384, in|-0.005340880714356899, the|0.015559626743197441, photo|0.09874716401100159	bunk	bunk	0	349483
what|-0.013363666832447052, is|0.018039172515273094, the|0.020076140761375427, answer|0.005938610062003136, to|-0.0036265035159885883, is|0.02364124171435833, the|-1.950939986272715e-05, player|0.028530102223157883, in|-0.01872921921312809, orange|0.04310648888349533, on|0.024613644927740097, defense|0.07301650196313858, or|0.24492090940475464, offense|0.5300094485282898	neither		0	152019
what|-0.44207054376602173, is|-0.013669554144144058, the|-0.012896587140858173, answer|0.08029041439294815, to|-0.0011501102708280087, is|-0.0026399018242955208, these|-0.02006402797996998, girls|-0.008894574828445911, soccer|0.0674290657043457, teams|-0.009512629359960556, or|-0.08136533945798874, coed|-0.0020718416199088097, soccer|0.11200074851512909, teams|-0.021782975643873215	yes	girls	0	152019
what|0.0021300995722413063, is|0.012392829172313213, the|0.04977959021925926, answer|-0.014907518401741982, to|-0.015492069534957409, what|0.04674219712615013, body|0.15052419900894165, part|0.1325342059135437, has|0.03149549663066864, most|0.013637784868478775, recently|-0.07198160141706467, the|0.004734200891107321, ball|0.12363822758197784	head	head	1	387079
what|-0.41357314586639404, is|-0.00459668505936861, the|8.154712850227952e-05, answer|0.07880208641290665, to|-0.011961271055042744, does|0.003863837569952011, the|0.0019687837921082973, window|0.021303502842783928, on|-0.00807377602905035, the|0.001785448519513011, right|-0.02719941735267639, have|0.02069886587560177, a|7.887225365266204e-05, curtain|0.04682965576648712	yes	yes	1	554266
what|0.003619524883106351, is|0.03212525695562363, the|0.016937149688601494, answer|-0.06419814378023148, to|-0.02101934514939785, what|0.023264262825250626, is|0.02079354040324688, the|0.0017489263555034995, teddy|0.01864136941730976, bear|0.021621929481625557, wearing|0.07879626750946045, on|-0.013000755570828915, the|-0.017018305137753487, head|0.09695496410131454	hat	helmet	0	505371
what|0.010634968057274818, is|0.01870458945631981, the|0.008707779459655285, answer|-0.018325578421354294, to|-0.026468561962246895, what|0.013636432588100433, is|0.00040621444350108504, written|0.12060666084289551, on|0.02382676489651203, the|0.01092512533068657, teddy|0.002787788165733218, bear's|-0.0037491426337510347, feet|0.15343406796455383	nothing		0	124039
